xlssc,RA,Dec,z [N_z],Source,R_{spec},F_{14}^{[0.5-2],F_{14}^{[0.5-2] error  (\pm),T_X,T_X  error \m,T_X  error \P,R_{500},L_{500}^{bol},L(Bol) 44,L_{500}^{bol} error \pm,L_{500}^{[0.5-2]},L(0.5-2) 44,L_{500}^{[0.5-2]} error \pm,L_corrected,M_{500} (M1),M_{500} (M2),,ref,,
1,36.238,-3.816,0.61,[17],90,7.9,0.4,3.30,-0.4,0.6,0.644,36.9,3.69,2,13.2,1.32,0.7,,8.6,11,,1|3,0.33,0.574290405
54,36.32,-5.888,0.05,[25],117,47.5,2,1.80,0.1,0.1,0.631,0.86,0.086,0.04,0.37,0.037,0.02,,3.6,2.4,,-,0.34,0.583589323
8,36.337,-3.801,0.3,[11],63,1.9,0.3,1.30,-0.1,0.3,0.461,1.2,0.12,0.2,0.6,0.06,0.1,,2.8,2.5,,1|3,0.35,0.59113368
25,36.353,-4.679,0.27,[10],63,8.9,0.5,2.10,-0.1,0.2,0.611,5.1,0.51,0.3,2.1,0.21,0.1,,4.8,5.3,,1|3,0.36,0.597764155
41,36.377,-4.239,0.14,[6],81,21.8,1.1,1.60,0.1,0.1,0.573,2.8,0.28,0.2,1.2,0.12,0.1,,3.6,4.2,,1|3,0.37,0.604196787
2,36.384,-3.92,0.77,[8],36,2.7,0.3,2.60,-0.5,0.6,0.518,19.3,1.93,2,7.5,0.75,0.8,,6.9,7.4,,1|3,0.38,0.61043864
50,36.419,-3.189,0.14,[13],86,55.4,1.1,3.30,-0.2,0.3,0.838,9.3,0.93,0.2,3.3,0.33,0.1,,15,7.6,,1|3,0.39,0.616498878
55,36.452,-5.895,0.23,[13],117,14,0.7,3.00,-0.5,0.6,0.758,6.6,0.66,0.4,2.5,0.25,0.2,,8.5,5.9,,-,0.4,0.622386138
51,36.498,-2.826,0.28,[6],99,1.1,0.3,1.40,-0.1,0.2,0.487,0.6,0.06,0.2,0.3,0.03,0.1,,3.4,1.9,,1|3,0.41,0.628106128
11,36.541,-4.968,0.05,[8],90,12.3,1.3,0.78,0.05,0.05,0.399,0.16,0.016,0.01,0.09,0.009,0.01,,1,1.1,,1|3,0.42,0.63366745
52,36.568,-2.665,0.06,[5],72,12.2,1.6,0.68,-0.03,0.02,0.369,0.19,0.019,0.02,0.1,0.01,0.01,,1.4,1.1,,1|3,0.43,0.639075065
9,36.686,-3.684,0.33,[8],54,2.2,0.5,0.80,-0.1,0.2,0.345,1.5,0.15,0.3,0.8,0.08,0.1,,1.2,2.7,,3,0.44,0.643069613
5,36.788,-4.3,1.06,[4],63,1,0.1,2.70,-0.7,1.2,0.442,14.9,1.49,2,5.8,0.58,0.8,,5.8,5.3,,1|3,0.45,0.646677938
10,36.843,-3.362,0.33,[5],54,5.8,0.5,2.50,0.4,0.4,0.648,5.3,0.53,0.6,2.1,0.21,0.2,,6.9,5.2,,1|3,0.46,0.650194499
13,36.858,-4.538,0.31,[19],54,2.4,0.3,1.20,-0.2,0.1,0.434,1.5,0.15,0.2,0.7,0.07,0.1,,1.9,2.8,,1|3,0.47,0.653632342
3,36.909,-3.299,0.84,[9],54,3.8,0.4,3.20,-0.7,1,0.556,34.5,3.45,3.6,12.5,1.25,1.3,,6.6,9.5,,1|3,0.48,0.65698453
22,36.916,-4.857,0.29,[15],63,9.8,0.3,2.00,0.1,0.1,0.584,6.8,0.68,0.2,2.9,0.29,0.1,,5.2,6.1,,1|3,0.49,0.66026296
27,37.014,-4.851,0.29,[6],60,6.4,0.4,2.90,-0.5,0.6,0.72,5.2,0.52,0.4,2,0.2,0.1,,10,5.1,,1|3,0.5,0.66346687
74,37.034,-5.597,0.19,[7],72,4.2,0.8,1.10,0.1,0.1,0.445,0.9,0.09,0.2,0.5,0.05,0.1,,2.4,2.2,,-,0.51,0.666593282
12,37.114,-4.432,0.43,[5],117,3.2,0.3,1.60,-0.2,0.1,0.474,4.9,0.49,0.4,2.2,0.22,0.2,,2.7,5,,3,0.52,0.669654265
,,,,,,,,,,,,,,,,,,,,,,,0.53,0.67264733
,,,,,,,,,,,,,,,,,,,,,,,0.54,0.675570012
,,,,,,,,,,,,,,,,,,,,,,,0.55,0.677025487
,,,,,,,,,,,,,,,,,,,,,,,0.56,0.677636395
,,,,,,,,,,,,,,,,,,,,,,,0.57,0.678240561
,,,,,,,,,,,,,,,,,,,,,,,0.58,0.678838095
,,,,,,,,,,,,,,,,,,,,,,,0.59,0.679430459
,,,,,,,,,,,,,,,,,,,,,,,0.6,0.680015048
,,,,,,,,,,,,,,,,,,,,,,,0.61,0.680593325
,,,,,,,,,,,,,,,,,,,,,,,0.62,0.681165392
,,,,,,,,,,,,,,,,,,,,,,,0.63,0.681731348
,,,,,,,,,,,,,,,,,,,,,,,0.64,0.682295776
,,,,,,,,,,,,,,,,,,,,,,,0.65,0.68284978
,,,,,,,,,,,,,,,,,,,,,,,0.66,0.68339796
,,,,,,,,,,,,,,,,,,,,,,,0.67,0.683940406
,,,,,,,,,,,,,,,,,,,,,,,0.68,0.684477208
,,,,,,,,,,,,,,,,,,,,,,,0.69,0.684544147
,,,,,,,,,,,,,,,,,,,,,,,0.7,0.684224043
,,,,,,,,,,,,,,,,,,,,,,,0.71,0.683910554
,,,,,,,,,,,,,,,,,,,,,,,0.72,0.683601645
,,,,,,,,,,,,,,,,,,,,,,,0.73,0.683282125
,,,,,,,,,,,,,,,,,,,,,,,0.74,0.682969214
,,,,,,,,,,,,,,,,,,,,,,,0.75,0.682656495
,,,,,,,,,,,,,,,,,,,,,,,0.76,0.682343969
,,,,,,,,,,,,,,,,,,,,,,,0.77,0.682029598
,,,,,,,,,,,,,,,,,,,,,,,0.78,0.681717455
,,,,,,,,,,,,,,,,,,,,,,,0.79,0.681405504
,,,,,,,,,,,,,,,,,,,,,,,0.8,0.681087343
,,,,,,,,,,,,,,,,,,,,,,,0.81,0.680775777
,,,,,,,,,,,,,,,,,,,,,,,0.82,0.680464402
,,,,,,,,,,,,,,,,,,,,,,,0.83,0.680157568
,,,,,,,,,,,,,,,,,,,,,,,0.84,0.679840179
,,,,,,,,,,,,,,,,,,,,,,,0.85,0.679529376
,,,,,,,,,,,,,,,,,,,,,,,0.86,0.679218763
,,,,,,,,,,,,,,,,,,,,,,,0.87,0.678386604
,,,,,,,,,,,,,,,,,,,,,,,0.88,0.677439568
,,,,,,,,,,,,,,,,,,,,,,,0.89,0.676476514
,,,,,,,,,,,,,,,,,,,,,,,0.9,0.675506
,,,,,,,,,,,,,,,,,,,,,,,0.91,0.67451899
,,,,,,,,,,,,,,,,,,,,,,,0.92,0.673524115
,,,,,,,,,,,,,,,,,,,,,,,0.93,0.672512243
,,,,,,,,,,,,,,,,,,,,,,,0.94,0.671492078
,,,,,,,,,,,,,,,,,,,,,,,0.95,0.670454392
,,,,,,,,,,,,,,,,,,,,,,,0.96,0.669407962
,,,,,,,,,,,,,,,,,,,,,,,0.97,0.66834346
,,,,,,,,,,,,,,,,,,,,,,,0.98,0.667269738
,,,,,,,,,,,,,,,,,,,,,,,0.99,0.666177367
,,,,,,,,,,,,,,,,,,,,,,,1,0.665075272
,,,,,,,,,,,,,,,,,,,,,,,1.01,0.663954622
,,,,,,,,,,,,,,,,,,,,,,,1.02,0.662823021
,,,,,,,,,,,,,,,,,,,,,,,1.03,0.661671525
,,,,,,,,,,,,,,,,,,,,,,,1.04,0.660509212
,,,,,,,,,,,,,,,,,,,,,,,1.05,0.659326333
,,,,,,,,,,,,,,,,,,,,,,,1.06,0.658132043
,,,,,,,,,,,,,,,,,,,,,,,1.07,0.656916479
,,,,,,,,,,,,,,,,,,,,,,,1.08,0.65568961
,,,,,,,,,,,,,,,,,,,,,,,1.09,0.654684227
,,,,,,,,,,,,,,,,,,,,,,,1.1,0.653896437
,,,,,,,,,,,,,,,,,,,,,,,1.11,0.653099611
,,,,,,,,,,,,,,,,,,,,,,,1.12,0.652289432
,,,,,,,,,,,,,,,,,,,,,,,1.13,0.651474041
,,,,,,,,,,,,,,,,,,,,,,,1.14,0.650649895
,,,,,,,,,,,,,,,,,,,,,,,1.15,0.649810326
,,,,,,,,,,,,,,,,,,,,,,,1.16,0.648965857
,,,,,,,,,,,,,,,,,,,,,,,1.17,0.648112132
,,,,,,,,,,,,,,,,,,,,,,,1.18,0.647242375
,,,,,,,,,,,,,,,,,,,,,,,1.19,0.646368031
,,,,,,,,,,,,,,,,,,,,,,,1.2,0.645482322
,,,,,,,,,,,,,,,,,,,,,,,1.21,0.64458151
,,,,,,,,,,,,,,,,,,,,,,,1.22,0.643674027
,,,,,,,,,,,,,,,,,,,,,,,1.23,0.642755365
,,,,,,,,,,,,,,,,,,,,,,,1.24,0.641826126
,,,,,,,,,,,,,,,,,,,,,,,1.25,0.640879264
,,,,,,,,,,,,,,,,,,,,,,,1.26,0.639926596
,,,,,,,,,,,,,,,,,,,,,,,1.27,0.638961071
,,,,,,,,,,,,,,,,,,,,,,,1.28,0.637977981
,,,,,,,,,,,,,,,,,,,,,,,1.29,0.636988486
,,,,,,,,,,,,,,,,,,,,,,,1.3,0.635985412
,,,,,,,,,,,,,,,,,,,,,,,1.31,0.634964816
,,,,,,,,,,,,,,,,,,,,,,,1.32,0.633935473
,,,,,,,,,,,,,,,,,,,,,,,1.33,0.632893474
,,,,,,,,,,,,,,,,,,,,,,,1.34,0.631831394
,,,,,,,,,,,,,,,,,,,,,,,1.35,0.630760682
,,,,,,,,,,,,,,,,,,,,,,,1.36,0.629676506
,,,,,,,,,,,,,,,,,,,,,,,1.37,0.628885512
,,,,,,,,,,,,,,,,,,,,,,,1.38,0.628505759
,,,,,,,,,,,,,,,,,,,,,,,1.39,0.628123179
,,,,,,,,,,,,,,,,,,,,,,,1.4,0.627738635
,,,,,,,,,,,,,,,,,,,,,,,1.41,0.627357678
,,,,,,,,,,,,,,,,,,,,,,,1.42,0.626969171
,,,,,,,,,,,,,,,,,,,,,,,1.43,0.626578654
,,,,,,,,,,,,,,,,,,,,,,,1.44,0.626186111
,,,,,,,,,,,,,,,,,,,,,,,1.45,0.625791527
,,,,,,,,,,,,,,,,,,,,,,,1.46,0.625394885
,,,,,,,,,,,,,,,,,,,,,,,1.47,0.624996169
,,,,,,,,,,,,,,,,,,,,,,,1.48,0.624595364
,,,,,,,,,,,,,,,,,,,,,,,1.49,0.624199014
,,,,,,,,,,,,,,,,,,,,,,,1.5,0.623793993
,,,,,,,,,,,,,,,,,,,,,,,1.51,0.623386832
,,,,,,,,,,,,,,,,,,,,,,,1.52,0.622977515
,,,,,,,,,,,,,,,,,,,,,,,1.53,0.622566023
,,,,,,,,,,,,,,,,,,,,,,,1.54,0.62215234
,,,,,,,,,,,,,,,,,,,,,,,1.55,0.621736449
,,,,,,,,,,,,,,,,,,,,,,,1.56,0.621324066
,,,,,,,,,,,,,,,,,,,,,,,1.57,0.620903714
,,,,,,,,,,,,,,,,,,,,,,,1.58,0.6204811
,,,,,,,,,,,,,,,,,,,,,,,1.59,0.620056205
,,,,,,,,,,,,,,,,,,,,,,,1.6,0.619629944
,,,,,,,,,,,,,,,,,,,,,,,1.61,0.619200434
,,,,,,,,,,,,,,,,,,,,,,,1.62,0.618768587
,,,,,,,,,,,,,,,,,,,,,,,1.63,0.618334384
,,,,,,,,,,,,,,,,,,,,,,,1.64,0.617903634
,,,,,,,,,,,,,,,,,,,,,,,1.65,0.617464671
,,,,,,,,,,,,,,,,,,,,,,,1.66,0.617023295
,,,,,,,,,,,,,,,,,,,,,,,1.67,0.616579483
,,,,,,,,,,,,,,,,,,,,,,,1.68,0.616133216
,,,,,,,,,,,,,,,,,,,,,,,1.69,0.615684474
,,,,,,,,,,,,,,,,,,,,,,,1.7,0.615233236
,,,,,,,,,,,,,,,,,,,,,,,1.71,0.614780443
,,,,,,,,,,,,,,,,,,,,,,,1.72,0.614352388
,,,,,,,,,,,,,,,,,,,,,,,1.73,0.614234006
,,,,,,,,,,,,,,,,,,,,,,,1.74,0.614115397
,,,,,,,,,,,,,,,,,,,,,,,1.75,0.613996557
,,,,,,,,,,,,,,,,,,,,,,,1.76,0.61388343
,,,,,,,,,,,,,,,,,,,,,,,1.77,0.613764135
,,,,,,,,,,,,,,,,,,,,,,,1.78,0.613644608
,,,,,,,,,,,,,,,,,,,,,,,1.79,0.613524849
,,,,,,,,,,,,,,,,,,,,,,,1.8,0.613410818
,,,,,,,,,,,,,,,,,,,,,,,1.81,0.613290597
,,,,,,,,,,,,,,,,,,,,,,,1.82,0.613170143
,,,,,,,,,,,,,,,,,,,,,,,1.83,0.613050428
,,,,,,,,,,,,,,,,,,,,,,,1.84,0.612935484
,,,,,,,,,,,,,,,,,,,,,,,1.85,0.612814328
,,,,,,,,,,,,,,,,,,,,,,,1.86,0.612692936
,,,,,,,,,,,,,,,,,,,,,,,1.87,0.612571306
,,,,,,,,,,,,,,,,,,,,,,,1.88,0.612455436
,,,,,,,,,,,,,,,,,,,,,,,1.89,0.612333333
,,,,,,,,,,,,,,,,,,,,,,,1.9,0.612210991
,,,,,,,,,,,,,,,,,,,,,,,1.91,0.612088409
,,,,,,,,,,,,,,,,,,,,,,,1.92,0.611971602
,,,,,,,,,,,,,,,,,,,,,,,1.93,0.611848542
,,,,,,,,,,,,,,,,,,,,,,,1.94,0.611725239
,,,,,,,,,,,,,,,,,,,,,,,1.95,0.611601692
,,,,,,,,,,,,,,,,,,,,,,,1.96,0.611483938
,,,,,,,,,,,,,,,,,,,,,,,1.97,0.611359908
,,,,,,,,,,,,,,,,,,,,,,,1.98,0.611235633
,,,,,,,,,,,,,,,,,,,,,,,1.99,0.611111111
,,,,,,,,,,,,,,,,,,,,,,,2,0.610992398
,,,,,,,,,,,,,,,,,,,,,,,2.01,0.610867387
,,,,,,,,,,,,,,,,,,,,,,,2.02,0.610742127
,,,,,,,,,,,,,,,,,,,,,,,2.03,0.610616619
,,,,,,,,,,,,,,,,,,,,,,,2.04,0.610496935
,,,,,,,,,,,,,,,,,,,,,,,2.05,0.610370931
,,,,,,,,,,,,,,,,,,,,,,,2.06,0.610244676
,,,,,,,,,,,,,,,,,,,,,,,2.07,0.610118168
,,,,,,,,,,,,,,,,,,,,,,,2.08,0.609991408
,,,,,,,,,,,,,,,,,,,,,,,2.09,0.609868664
,,,,,,,,,,,,,,,,,,,,,,,2.1,0.60974323
,,,,,,,,,,,,,,,,,,,,,,,2.11,0.609616934
,,,,,,,,,,,,,,,,,,,,,,,2.12,0.609490995
,,,,,,,,,,,,,,,,,,,,,,,2.13,0.609364191
,,,,,,,,,,,,,,,,,,,,,,,2.14,0.609237743
,,,,,,,,,,,,,,,,,,,,,,,2.15,0.609110427
,,,,,,,,,,,,,,,,,,,,,,,2.16,0.608983468
,,,,,,,,,,,,,,,,,,,,,,,2.17,0.608941751
,,,,,,,,,,,,,,,,,,,,,,,2.18,0.608970863
,,,,,,,,,,,,,,,,,,,,,,,2.19,0.60899999
,,,,,,,,,,,,,,,,,,,,,,,2.2,0.609028122
,,,,,,,,,,,,,,,,,,,,,,,2.21,0.60905789
,,,,,,,,,,,,,,,,,,,,,,,2.22,0.609086048
,,,,,,,,,,,,,,,,,,,,,,,2.23,0.609115229
,,,,,,,,,,,,,,,,,,,,,,,2.24,0.609144029
,,,,,,,,,,,,,,,,,,,,,,,2.25,0.609173237
,,,,,,,,,,,,,,,,,,,,,,,2.26,0.60920246
,,,,,,,,,,,,,,,,,,,,,,,2.27,0.609231301
,,,,,,,,,,,,,,,,,,,,,,,2.28,0.60926055
,,,,,,,,,,,,,,,,,,,,,,,2.29,0.609288803
,,,,,,,,,,,,,,,,,,,,,,,2.3,0.609318696
,,,,,,,,,,,,,,,,,,,,,,,2.31,0.609346976
,,,,,,,,,,,,,,,,,,,,,,,2.32,0.60937628
,,,,,,,,,,,,,,,,,,,,,,,2.33,0.609404587
,,,,,,,,,,,,,,,,,,,,,,,2.34,0.609434535
,,,,,,,,,,,,,,,,,,,,,,,2.35,0.609463881
,,,,,,,,,,,,,,,,,,,,,,,2.36,0.609492228
,,,,,,,,,,,,,,,,,,,,,,,2.37,0.609522219
,,,,,,,,,,,,,,,,,,,,,,,2.38,0.609550593
,,,,,,,,,,,,,,,,,,,,,,,2.39,0.609579994
,,,,,,,,,,,,,,,,,,,,,,,2.4,0.609609013
,,,,,,,,,,,,,,,,,,,,,,,2.41,0.609638442
,,,,,,,,,,,,,,,,,,,,,,,2.42,0.609666871
,,,,,,,,,,,,,,,,,,,,,,,2.43,0.609696945
,,,,,,,,,,,,,,,,,,,,,,,2.44,0.609726415
,,,,,,,,,,,,,,,,,,,,,,,2.45,0.609754885
,,,,,,,,,,,,,,,,,,,,,,,2.46,0.609784383
,,,,,,,,,,,,,,,,,,,,,,,2.47,0.609813499
,,,,,,,,,,,,,,,,,,,,,,,2.48,0.609843025
,,,,,,,,,,,,,,,,,,,,,,,2.49,0.609871549
,,,,,,,,,,,,,,,,,,,,,,,2.5,0.609901722
,,,,,,,,,,,,,,,,,,,,,,,2.51,0.609930274
,,,,,,,,,,,,,,,,,,,,,,,2.52,0.609959855
,,,,,,,,,,,,,,,,,,,,,,,2.53,0.609990071
,,,,,,,,,,,,,,,,,,,,,,,2.54,0.610018664
,,,,,,,,,,,,,,,,,,,,,,,2.55,0.610048287
,,,,,,,,,,,,,,,,,,,,,,,2.56,0.610076908
,,,,,,,,,,,,,,,,,,,,,,,2.57,0.610107179
,,,,,,,,,,,,,,,,,,,,,,,2.58,0.610135827
,,,,,,,,,,,,,,,,,,,,,,,2.59,0.610165507
,,,,,,,,,,,,,,,,,,,,,,,2.6,0.610195821
,,,,,,,,,,,,,,,,,,,,,,,2.61,0.610224511
,,,,,,,,,,,,,,,,,,,,,,,2.62,0.610254232
,,,,,,,,,,,,,,,,,,,,,,,2.63,0.610283571
,,,,,,,,,,,,,,,,,,,,,,,2.64,0.610313321
,,,,,,,,,,,,,,,,,,,,,,,2.65,0.610342065
,,,,,,,,,,,,,,,,,,,,,,,2.66,0.610372465
,,,,,,,,,,,,,,,,,,,,,,,2.67,0.610401237
,,,,,,,,,,,,,,,,,,,,,,,2.68,0.610431043
,,,,,,,,,,,,,,,,,,,,,,,2.69,0.610460864
,,,,,,,,,,,,,,,,,,,,,,,2.7,0.6104903
,,,,,,,,,,,,,,,,,,,,,,,2.71,0.610520149
,,,,,,,,,,,,,,,,,,,,,,,2.72,0.610548991
,,,,,,,,,,,,,,,,,,,,,,,2.73,0.610579618
,,,,,,,,,,,,,,,,,,,,,,,2.74,0.610609364
,,,,,,,,,,,,,,,,,,,,,,,2.75,0.610640143
,,,,,,,,,,,,,,,,,,,,,,,2.76,0.610669912
,,,,,,,,,,,,,,,,,,,,,,,2.77,0.610700713
,,,,,,,,,,,,,,,,,,,,,,,2.78,0.610730504
,,,,,,,,,,,,,,,,,,,,,,,2.79,0.610761328
,,,,,,,,,,,,,,,,,,,,,,,2.8,0.610791766
,,,,,,,,,,,,,,,,,,,,,,,2.81,0.610822613
,,,,,,,,,,,,,,,,,,,,,,,2.82,0.610852448
,,,,,,,,,,,,,,,,,,,,,,,2.83,0.610883318
,,,,,,,,,,,,,,,,,,,,,,,2.84,0.610913176
,,,,,,,,,,,,,,,,,,,,,,,2.85,0.610944069
,,,,,,,,,,,,,,,,,,,,,,,2.86,0.61097395
,,,,,,,,,,,,,,,,,,,,,,,2.87,0.611004865
,,,,,,,,,,,,,,,,,,,,,,,2.88,0.611035394
,,,,,,,,,,,,,,,,,,,,,,,2.89,0.611066332
,,,,,,,,,,,,,,,,,,,,,,,2.9,0.611096258
,,,,,,,,,,,,,,,,,,,,,,,2.91,0.611127219
,,,,,,,,,,,,,,,,,,,,,,,2.92,0.611157167
,,,,,,,,,,,,,,,,,,,,,,,2.93,0.611188152
,,,,,,,,,,,,,,,,,,,,,,,2.94,0.611218123
,,,,,,,,,,,,,,,,,,,,,,,2.95,0.61124913
,,,,,,,,,,,,,,,,,,,,,,,2.96,0.611279123
,,,,,,,,,,,,,,,,,,,,,,,2.97,0.61131078
,,,,,,,,,,,,,,,,,,,,,,,2.98,0.611340796
,,,,,,,,,,,,,,,,,,,,,,,2.99,0.61137185
,,,,,,,,,,,,,,,,,,,,,,,3,0.611401888
,,,,,,,,,,,,,,,,,,,,,,,3.01,0.611432965
,,,,,,,,,,,,,,,,,,,,,,,3.02,0.611463026
,,,,,,,,,,,,,,,,,,,,,,,3.03,0.611494125
,,,,,,,,,,,,,,,,,,,,,,,3.04,0.611524209
,,,,,,,,,,,,,,,,,,,,,,,3.05,0.61155596
,,,,,,,,,,,,,,,,,,,,,,,3.06,0.611586067
,,,,,,,,,,,,,,,,,,,,,,,3.07,0.611617213
,,,,,,,,,,,,,,,,,,,,,,,3.08,0.611647342
,,,,,,,,,,,,,,,,,,,,,,,3.09,0.611677483
,,,,,,,,,,,,,,,,,,,,,,,3.1,0.611708663
,,,,,,,,,,,,,,,,,,,,,,,3.11,0.611738827
,,,,,,,,,,,,,,,,,,,,,,,3.12,0.61177003
,,,,,,,,,,,,,,,,,,,,,,,3.13,0.611800217
,,,,,,,,,,,,,,,,,,,,,,,3.14,0.611832073
,,,,,,,,,,,,,,,,,,,,,,,3.15,0.611862282
,,,,,,,,,,,,,,,,,,,,,,,3.16,0.611893532
,,,,,,,,,,,,,,,,,,,,,,,3.17,0.611923764
,,,,,,,,,,,,,,,,,,,,,,,3.18,0.611955038
,,,,,,,,,,,,,,,,,,,,,,,3.19,0.611985293
,,,,,,,,,,,,,,,,,,,,,,,3.2,0.612016589
,,,,,,,,,,,,,,,,,,,,,,,3.21,0.612046867
,,,,,,,,,,,,,,,,,,,,,,,3.22,0.612078187
,,,,,,,,,,,,,,,,,,,,,,,3.23,0.612109119
